區域,餐廳名,類別,評分,評論數,一,二,三,四,五,六,日,$
新生南路、溫州街,韓庭州韓國料理,k,3.7,1205,11:00-14:30/17:00-21:00,11:00-14:30/17:00-21:00,11:00-14:30/17:00-21:00,11:00-14:30/17:00-21:00,11:00-14:30/17:00-21:00,11:00-14:30/17:00-21:00,11:00-14:30/17:00-21:00,2
新生南路、溫州街,光一肆號,am,4.3,2145,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,09:00-20:30,09:00-20:30,2
新生南路、溫州街,芋芋甜點舖,fat,4.8,213,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,1
新生南路、溫州街,uMeal Bistro 公館店,tw,4.8,380,11:30-15:30,11:30-15:30,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,2
新生南路、溫州街,沙巴巴中東美食,oth,4.1,1350,12:00-14:30/17:30-20:30,12:00-14:30/17:30-20:30,12:00-14:30/17:30-20:30,12:00-14:30/17:30-20:30,12:00-14:30/17:30-20:30,12:00-20:30,12:00-20:30,2
新生南路、溫州街,秘徑小食光,it,4.2,303,x,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,2
新生南路、溫州街,蠶居,tw,4.1,753,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,1
新生南路、溫州街,老先覺功夫窯燒鍋台北公館店,tw,3.8,454,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,1
新生南路、溫州街,麥子磨麵台大店,tw,3.8,885,11:30-14:00/17:00-20:30,11:30-14:00/17:00-20:30,11:30-14:00/17:00-20:30,11:30-14:00/17:00-20:30,11:30-14:00/17:00-20:30,11:30-14:00/17:00-20:30,11:30-14:00/17:00-20:30,2
新生南路、溫州街,SIVARA 泰國船麵,koh,4.8,70,x,12:00-16:00,12:00-16:00,12:00-16:00,12:00-16:00,12:00-16:00,x,1
新生南路、溫州街,指有雞飯,tw,4.3,299,11:30-20:00,11:30-20:00,11:30-20:00,11:30-20:00,11:30-20:00,11:30-20:00,11:30-20:00,1
新生南路、溫州街,小川西堂,tw,4.1,597,11:00-15:00/17:00-21:00,11:00-15:00/17:00-21:00,11:00-15:00/17:00-21:00,11:00-15:00/17:00-21:00,11:00-15:00/17:00-21:00,11:00-15:00/17:00-21:00,11:00-15:00/17:00-21:00,2
新生南路、溫州街,行運冰室,hk,3.9,1156,x,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,2
新生南路、溫州街,NoName無名咖哩 台大店,j,4.5,397,11:00-14:00/16:00-20:00,11:00-14:00/16:00-20:00,11:00-14:00/16:00-20:00,11:00-14:00/16:00-20:00,11:00-14:00/16:00-20:00,x,11:00-14:00/16:00-20:00,1
新生南路、溫州街,溏老鴨平價小火鍋,j,4.4,1695,11:40-15:00/17:00-22:00,11:40-15:00/17:00-22:00,11:40-15:00/17:00-22:00,11:40-15:00/17:00-22:00,11:40-15:00/17:00-22:00,11:40-15:00/17:00-22:00,11:40-15:00/17:00-22:00,1
新生南路、溫州街,左巴好室．好事,oth,4.5,2332,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,10:00-22:00,10:00-22:00,2
新生南路、溫州街,雪可屋,dr,4.2,356,12:00-00:00,12:00–00:00,12:00–00:00,x,12:00–00:00,11:00-00:00,11:00-00:00,2
新生南路、溫州街,彩椒廚房,tw,3.7,601,11:00-13:45/17:00-20:20,11:00-13:45/17:00-20:20,11:00-13:45/17:00-20:20,11:00-13:45/17:00-20:20,11:00-13:45/17:00-20:20,11:00-13:45/17:00-20:20,11:00-13:45/17:00-20:20,1
新生南路、溫州街,阿英滷肉飯,tw,3.6,1428,11:30-13:30/17:00-19:30,11:30-13:30/17:00-19:30,11:30-13:30/17:00-19:30,11:30-13:30/17:00-19:30,11:30-13:30/17:00-19:30,x,11:30-13:30/17:00-19:30,1
