區域,餐廳名,類別,評分,評論數,一,二,三,四,五,六,日,$
公館、水源,小旺號,tw,4.3,973,07:00-21:00,x,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,1
公館、水源,雲泰小鎮,koh,3.3,219,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,2
公館、水源,公館阿姨滷味,tw,4.7,301,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,x,11:00-20:30,1
公館、水源,小飯廳,hk,3.8,751,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,1
公館、水源,麻煮MiNi麻辣煲,tw,4.5,486,11:30-14:30/17:00-22:00,11:30-14:30/17:00-22:00,11:30-14:30/17:00-22:00,x,11:30-14:30/17:00-23:00,11:30-14:30/17:00-23:00,11:30-14:30/17:00-22:00,2
公館、水源,索菲烤布蕾,fat,4.5,178,x,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,1
公館、水源,bb.q CHICKEN,am,4.6,608,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,1
公館、水源,金雞園,ch,3.8,999,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,1
公館、水源,樂樂韓食,k,4.5,190,x,11:30-19:00,11:30-19:00,11:30-19:00,11:30-19:00,11:30-19:00,11:30-19:00,1
公館、水源,魔法雞排,tw,3.5,257,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,1
公館、水源,馬辣頂級麻辣鴛鴦火鍋,tw,4.1,4499,00:00-01:00/11:30-24:00,00:00-01:00/11:30-24:00,00:00-01:00/11:30-24:00,00:00-01:00/11:30-24:00,00:00-01:00/11:30-24:00,00:00-01:00/11:30-24:00,00:00-01:00/11:30-24:00,2
公館、水源,大埔鐵板燒,tw,4,856,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,1
