區域,餐廳名,類別,評分,評論數,一,二,三,四,五,六,日,$
公館、水源,鑫吉野烤肉飯,tw,4.1,218,09:00-14:00/16:30-20:00,09:00-14:00/16:30-20:00,09:00-14:00/16:30-20:00,09:00-14:00/16:30-20:00,09:00-14:00/16:30-20:00,09:00-14:00/16:30-20:00,x,1
公館、水源,麥當勞,fat,3.7,1586,06:00-24:00,06:00-24:00,06:00-24:00,06:00-24:00,06:00-24:00,06:00-24:00,06:00-24:00,1
公館、水源,龍潭豆花,fat,4.2,1268,x,12:00-22:00,12:30-22:00,12:30-22:00,12:30-22:00,11:30-22:00,12:00-22:00,1
公館、水源,鍋in百元風味火鍋,tw,3.9,2688,11:00-23:45,11:00-23:45,11:00-23:45,11:00-23:45,11:00-23:45,11:00-23:45,11:00-23:45,1
公館、水源,桃源街石記麵館,ch,3.9,240,11:00-20:00,x,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,2
公館、水源,Mr. 拉麵野崎家,j,3.7,2271,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,2
公館、水源,夢駝鈴咖啡餐廳,fat,3.7,660,00:00-02:00/11:30-24:00,00:00-02:00/11:30-24:00,00:00-02:00/11:30-24:00,00:00-02:00/11:30-24:00,00:00-02:00/11:30-24:00,00:00-02:00/11:30-24:00,00:00-02:00/11:30-24:00,2
公館、水源,瓦崎燒烤火鍋,j,3.1,458,11:30-23:00,11:30-23:00,11:30-23:00,11:30-23:00,11:30-23:00,11:30-23:00,11:30-23:00,2
公館、水源,涮樂和牛鍋物,j,4.6,5816,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,11:30-22:00,2
公館、水源,重順川菜餐廳,ch,4.2,1014,11:00-14:00/17:00-21:00,11:00-14:00/17:00-21:00,11:00-14:00/17:00-21:00,11:00-14:00/17:00-21:00,11:00-14:00/17:00-21:00,11:00-14:30/17:00-21:00,11:00-14:30/17:00-21:00,1
公館、水源,曼德樂泰式料理,koh,3.6,122,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,2
公館、水源,公館酒釀湯圓,fat,3.8,231,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,14:00-22:00,1
公館、水源,麻辣巴蕾,ch,3.9,1275,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-22:00,11:30-22:00,11:30-22:00,2
公館、水源,祥滿速食餐坊-清蒸鮮魚,tw,4.6,123,x,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,1
公館、水源,小蔬杭 絕對蔬食,hk,4.1,520,11:30-14:30/17:30-21:00,11:30-14:30/17:30-21:00,11:30-14:30/17:30-21:00,11:30-14:30/17:30-21:00,11:30-14:30/17:30-21:00,11:30-14:30/17:30-21:00,11:30-14:30/17:30-21:00,2
公館、水源,純愛小吃部,tw,4.2,209,00:00-00:30/17:30-24:00,00:00-00:30/17:30-24:00,00:00-00:30/17:30-24:00,00:00-00:30/17:30-24:00,00:00-00:30/17:30-24:00,00:00-02:00/17:30-24:00,00:00-02:00/17:30-24:00,1
公館、水源,JJ's POKE & CAFE,am,4.2,512,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,11:00-20:30,2
公館、水源,韓江館銅盤烤肉,k,3.4,687,17:00-22:00,x,17:00-22:00,17:00-22:00,17:00-22:00,11:30-15:00/17:00-22:00,11:30-15:00/17:00-22:00,2
公館、水源,戰醬燒肉,tw,4.3,3800,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,2
公館、水源,頂呱呱,fat,3.7,509,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,2
公館、水源,尖蚪,dr,4.5,283,x,x,12:00-18:00,12:00-18:00,12:00-18:00,11:00-20:00,11:00-20:00,2
公館、水源,清真泰皇餐廳,koh,4.2,258,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,1
公館、水源,豪季水餃,tw,4,185,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-15:00,x,1
